,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜瓜-美濃,V1,30.0,21.7,桃農,338,26.9,26.9,408.0,2012,6,7,3
1,甜瓜-美濃,V1,30.0,11.0,桃農,338,25.8,25.8,313.0,2012,6,8,4
2,甜瓜-美濃,V1,30.0,30.0,桃農,338,30.0,30.0,75.0,2012,6,13,2
3,甜瓜-美濃,V1,18.0,18.0,桃農,338,18.0,18.0,420.0,2012,7,3,1
4,甜瓜-美濃,V1,12.0,12.0,桃農,338,12.0,12.0,18.0,2012,8,1,2
5,甜瓜-美濃,V1,33.0,33.0,桃農,338,33.0,33.0,75.0,2012,10,9,1
6,甜瓜-美濃,V1,33.0,33.0,桃農,338,33.0,33.0,90.0,2012,10,11,3
7,甜瓜-美濃,V1,7.0,7.0,桃農,338,7.0,7.0,45.0,2012,10,17,2
8,甜瓜-美濃,V1,20.0,20.0,桃農,338,20.0,20.0,36.0,2012,10,31,2
9,甜瓜-美濃,V1,10.0,10.0,桃農,338,10.0,10.0,108.0,2012,11,2,4
10,甜瓜-美濃,V1,16.0,16.0,桃農,338,16.0,16.0,60.0,2012,11,17,5
11,甜瓜-美濃,V1,30.0,30.0,桃農,338,30.0,30.0,54.0,2013,4,16,1
12,甜瓜-美濃,V1,50.0,35.0,桃農,338,40.0,40.0,49.0,2013,5,14,1
13,甜瓜-美濃,V1,10.0,10.0,桃農,338,10.0,10.0,45.0,2013,5,19,6
14,甜瓜-美濃,V1,20.0,20.0,桃農,338,20.0,20.0,105.0,2013,5,24,4
15,甜瓜-美濃,V1,10.0,10.0,桃農,338,10.0,10.0,75.0,2013,5,31,4
16,甜瓜-美濃,V1,5.0,3.0,桃農,338,4.5,4.5,64.0,2013,6,5,2
17,甜瓜-美濃,V1,40.0,10.0,桃農,338,30.0,30.0,92.0,2013,6,11,1
18,甜瓜-美濃,V1,50.0,5.0,桃農,338,33.0,33.0,140.0,2013,6,12,2
19,甜瓜-美濃,V1,35.0,10.0,桃農,338,20.0,20.0,81.0,2013,6,15,5
20,甜瓜-美濃,V1,45.0,30.0,桃農,338,37.5,37.5,63.0,2013,6,16,6
21,甜瓜-美濃,V1,40.0,5.0,桃農,338,28.8,28.8,117.0,2013,6,18,1
22,甜瓜-美濃,V1,35.0,5.0,桃農,338,19.0,19.0,176.0,2013,6,19,2
23,甜瓜-美濃,V1,40.0,10.0,桃農,338,29.8,29.8,120.0,2013,6,20,3
