,1,2,3,4,5,acc,batch_size,lookback,name,num
0,32,32,0,0,0,73.2824427480916,32,7,train+oil+weather+國定假日+拜拜日 台南,0
1,32,32,0,0,0,68.70229007633588,32,7,train+oil+weather+國定假日+拜拜日 台南,1
2,32,32,0,0,0,78.62595419847328,32,7,train+oil+weather+國定假日+拜拜日 台南,2
3,32,32,0,0,0,70.99236641221374,32,7,train+oil+weather+國定假日+拜拜日 台南,3
4,32,32,0,0,0,70.22900763358778,32,7,train+oil+weather+國定假日+拜拜日 台南,4
5,32,32,0,0,0,67.17557251908397,32,7,train+oil+weather+國定假日+拜拜日 台南,5
6,32,32,0,0,0,67.93893129770993,32,7,train+oil+weather+國定假日+拜拜日 台南,6
7,32,32,0,0,0,69.46564885496184,32,7,train+oil+weather+國定假日+拜拜日 台南,7
8,32,32,0,0,0,73.2824427480916,32,7,train+oil+weather+國定假日+拜拜日 台南,8
9,32,32,0,0,0,69.46564885496184,32,7,train+oil+weather+國定假日+拜拜日 台南,9
10,32,32,0,0,0,61.832061068702295,32,7,train+oil+weather+國定假日+拜拜日 台南,10
11,32,32,0,0,0,70.99236641221374,32,7,train+oil+weather+國定假日+拜拜日 台南,11
12,32,32,0,0,0,69.46564885496184,32,7,train+oil+weather+國定假日+拜拜日 台南,12
13,32,32,0,0,0,75.57251908396947,32,7,train+oil+weather+國定假日+拜拜日 台南,13
14,32,32,0,0,0,74.04580152671755,32,7,train+oil+weather+國定假日+拜拜日 台南,14
15,32,32,0,0,0,63.358778625954194,32,7,train+oil+weather+國定假日+拜拜日 台南,15
16,32,32,0,0,0,73.2824427480916,32,7,train+oil+weather+國定假日+拜拜日 台南,16
17,32,32,0,0,0,72.51908396946564,32,7,train+oil+weather+國定假日+拜拜日 台南,17
18,32,32,0,0,0,74.80916030534351,32,7,train+oil+weather+國定假日+拜拜日 台南,18
19,32,32,0,0,0,64.8854961832061,32,7,train+oil+weather+國定假日+拜拜日 台南,19
20,32,32,0,0,0,74.80916030534351,32,7,train+oil+weather+國定假日+拜拜日 台南,20
21,32,32,0,0,0,70.22900763358778,32,7,train+oil+weather+國定假日+拜拜日 台南,21
22,32,32,0,0,0,74.80916030534351,32,7,train+oil+weather+國定假日+拜拜日 台南,22
23,32,32,0,0,0,65.64885496183206,32,7,train+oil+weather+國定假日+拜拜日 台南,23
24,32,32,0,0,0,63.358778625954194,32,7,train+oil+weather+國定假日+拜拜日 台南,24
25,32,32,0,0,0,75.57251908396947,32,7,train+oil+weather+國定假日+拜拜日 台南,25
26,32,32,0,0,0,71.7557251908397,32,7,train+oil+weather+國定假日+拜拜日 台南,26
27,32,32,0,0,0,65.64885496183206,32,7,train+oil+weather+國定假日+拜拜日 台南,27
28,32,32,0,0,0,69.46564885496184,32,7,train+oil+weather+國定假日+拜拜日 台南,28
29,32,32,0,0,0,67.93893129770993,32,7,train+oil+weather+國定假日+拜拜日 台南,29
